Source_Query,Target_Query,Status,Path_Length,Source_Node,Target_Node,Path,Detailed_Path
alcohol-related disorders,anorexia nervosa,Path found,3,alcohol-related disorders,anorexia nervosa,alcohol-related disorders → substance abuse/dependence → Medroxyprogesterone acetate → anorexia nervosa,"
  • alcohol-related disorders [disease] --parent-child--> substance abuse/dependence [disease]
  • substance abuse/dependence [disease] --contraindication--> Medroxyprogesterone acetate [drug]
  • Medroxyprogesterone acetate [drug] --contraindication--> anorexia nervosa [disease]"
alcohol-related disorders,Behavioral abnormality,Path found,3,alcohol-related disorders,Behavioral abnormality,alcohol-related disorders → substance abuse/dependence → Topiramate → Behavioral abnormality,"
  • alcohol-related disorders [disease] --parent-child--> substance abuse/dependence [disease]
  • substance abuse/dependence [disease] --off-label use--> Topiramate [drug]
  • Topiramate [drug] --side effect--> Behavioral abnormality [effect/phenotype]"
alcohol-related disorders,Bipolar affective disorder,Path found,3,alcohol-related disorders,Bipolar affective disorder,alcohol-related disorders → substance abuse/dependence → Topiramate → Bipolar affective disorder,"
  • alcohol-related disorders [disease] --parent-child--> substance abuse/dependence [disease]
  • substance abuse/dependence [disease] --off-label use--> Topiramate [drug]
  • Topiramate [drug] --side effect--> Bipolar affective disorder [effect/phenotype]"
alcohol-related disorders,bipolar disorder,Path found,3,alcohol-related disorders,bipolar disorder,alcohol-related disorders → substance abuse/dependence → Trimipramine → bipolar disorder,"
  • alcohol-related disorders [disease] --parent-child--> substance abuse/dependence [disease]
  • substance abuse/dependence [disease] --contraindication--> Trimipramine [drug]
  • Trimipramine [drug] --contraindication--> bipolar disorder [disease]"
alcohol-related disorders,Death in adolescence,Path found,4,alcohol-related disorders,Death in adolescence,"alcohol-related disorders → pancreatitis → Autosomal recessive inheritance → mitochondrial complex 4 deficiency, nuclear → Death in adolescence","
  • alcohol-related disorders [disease] --parent-child--> pancreatitis [disease]
  • pancreatitis [disease] --phenotype present--> Autosomal recessive inheritance [effect/phenotype]
  • Autosomal recessive inheritance [effect/phenotype] --phenotype present--> mitochondrial complex 4 deficiency, nuclear [disease]
  • mitochondrial complex 4 deficiency, nuclear [disease] --phenotype present--> Death in adolescence [effect/phenotype]"
alcohol-related disorders,drugalcohol-induced mental disorder,Path found,2,alcohol-related disorders,drug/alcohol-induced mental disorder,alcohol-related disorders → alcoholic psychosis → drug/alcohol-induced mental disorder,"
  • alcohol-related disorders [disease] --parent-child--> alcoholic psychosis [disease]
  • alcoholic psychosis [disease] --parent-child--> drug/alcohol-induced mental disorder [disease]"
alcohol-related disorders,eating behavior,Path found,3,alcohol-related disorders,eating behavior,alcohol-related disorders → substance abuse/dependence → CCK → eating behavior,"
  • alcohol-related disorders [disease] --parent-child--> substance abuse/dependence [disease]
  • substance abuse/dependence [disease] --associated with--> CCK [gene/protein]
  • CCK [gene/protein] --interacts with--> eating behavior [biological_process]"
alcohol-related disorders,Hypotropia,Path found,5,alcohol-related disorders,hypotropia,alcohol-related disorders → pancreatitis → Autosomal dominant inheritance → Brown syndrome → strabismus → hypotropia,"
  • alcohol-related disorders [disease] --parent-child--> pancreatitis [disease]
  • pancreatitis [disease] --phenotype present--> Autosomal dominant inheritance [effect/phenotype]
  • Autosomal dominant inheritance [effect/phenotype] --phenotype present--> Brown syndrome [disease]
  • Brown syndrome [disease] --parent-child--> strabismus [disease]
  • strabismus [disease] --parent-child--> hypotropia [disease]"
alcohol-related disorders,major depressive disorder,Path found,3,alcohol-related disorders,major depressive disorder,alcohol-related disorders → substance abuse/dependence → Ketamine → major depressive disorder,"
  • alcohol-related disorders [disease] --parent-child--> substance abuse/dependence [disease]
  • substance abuse/dependence [disease] --contraindication--> Ketamine [drug]
  • Ketamine [drug] --off-label use--> major depressive disorder [disease]"
alcohol-related disorders,Mania,Path found,3,alcohol-related disorders,Mania,alcohol-related disorders → substance abuse/dependence → Topiramate → Mania,"
  • alcohol-related disorders [disease] --parent-child--> substance abuse/dependence [disease]
  • substance abuse/dependence [disease] --off-label use--> Topiramate [drug]
  • Topiramate [drug] --side effect--> Mania [effect/phenotype]"
alcohol-related disorders,manic bipolar affective disorder,Path found,3,alcohol-related disorders,manic bipolar affective disorder,alcohol-related disorders → substance abuse/dependence → Nortriptyline → manic bipolar affective disorder,"
  • alcohol-related disorders [disease] --parent-child--> substance abuse/dependence [disease]
  • substance abuse/dependence [disease] --contraindication--> Nortriptyline [drug]
  • Nortriptyline [drug] --contraindication--> manic bipolar affective disorder [disease]"
alcohol-related disorders,Panic attack,Path found,4,alcohol-related disorders,Panic attack,alcohol-related disorders → pancreatitis → Autosomal recessive inheritance → Troyer syndrome → Panic attack,"
  • alcohol-related disorders [disease] --parent-child--> pancreatitis [disease]
  • pancreatitis [disease] --phenotype present--> Autosomal recessive inheritance [effect/phenotype]
  • Autosomal recessive inheritance [effect/phenotype] --phenotype present--> Troyer syndrome [disease]
  • Troyer syndrome [disease] --phenotype present--> Panic attack [effect/phenotype]"
alcohol-related disorders,Panic disorder,Path found,4,alcohol-related disorders,Panic attack,alcohol-related disorders → pancreatitis → Autosomal recessive inheritance → Troyer syndrome → Panic attack,"
  • alcohol-related disorders [disease] --parent-child--> pancreatitis [disease]
  • pancreatitis [disease] --phenotype present--> Autosomal recessive inheritance [effect/phenotype]
  • Autosomal recessive inheritance [effect/phenotype] --phenotype present--> Troyer syndrome [disease]
  • Troyer syndrome [disease] --phenotype present--> Panic attack [effect/phenotype]"
alcohol-related disorders,Posttraumatic stress symptom,Path found,4,alcohol-related disorders,Posttraumatic stress symptom,alcohol-related disorders → substance abuse/dependence → Topiramate → Behavioral abnormality → Posttraumatic stress symptom,"
  • alcohol-related disorders [disease] --parent-child--> substance abuse/dependence [disease]
  • substance abuse/dependence [disease] --off-label use--> Topiramate [drug]
  • Topiramate [drug] --side effect--> Behavioral abnormality [effect/phenotype]
  • Behavioral abnormality [effect/phenotype] --parent-child--> Posttraumatic stress symptom [effect/phenotype]"
anorexia nervosa,Behavioral abnormality,Path found,2,anorexia nervosa,Behavioral abnormality,anorexia nervosa → Methylphenidate → Behavioral abnormality,"
  • anorexia nervosa [disease] --contraindication--> Methylphenidate [drug]
  • Methylphenidate [drug] --side effect--> Behavioral abnormality [effect/phenotype]"
anorexia nervosa,Bipolar affective disorder,Path found,2,anorexia nervosa,Bipolar affective disorder,anorexia nervosa → Bupropion → Bipolar affective disorder,"
  • anorexia nervosa [disease] --contraindication--> Bupropion [drug]
  • Bupropion [drug] --side effect--> Bipolar affective disorder [effect/phenotype]"
anorexia nervosa,bipolar disorder,Path found,2,anorexia nervosa,bipolar disorder,anorexia nervosa → Fluoxetine → bipolar disorder,"
  • anorexia nervosa [disease] --contraindication--> Fluoxetine [drug]
  • Fluoxetine [drug] --contraindication--> bipolar disorder [disease]"
anorexia nervosa,Death in adolescence,Path found,4,anorexia nervosa,Death in adolescence,anorexia nervosa → Orlistat → Arthritis → proteasome-associated autoinflammatory syndrome → Death in adolescence,"
  • anorexia nervosa [disease] --contraindication--> Orlistat [drug]
  • Orlistat [drug] --side effect--> Arthritis [effect/phenotype]
  • Arthritis [effect/phenotype] --phenotype present--> proteasome-associated autoinflammatory syndrome [disease]
  • proteasome-associated autoinflammatory syndrome [disease] --phenotype present--> Death in adolescence [effect/phenotype]"
anorexia nervosa,drugalcohol-induced mental disorder,Path found,3,anorexia nervosa,drug/alcohol-induced mental disorder,anorexia nervosa → Trolnitrate → mental disorder → drug/alcohol-induced mental disorder,"
  • anorexia nervosa [disease] --contraindication--> Trolnitrate [drug]
  • Trolnitrate [drug] --contraindication--> mental disorder [disease]
  • mental disorder [disease] --parent-child--> drug/alcohol-induced mental disorder [disease]"
anorexia nervosa,eating behavior,Path found,3,anorexia nervosa,eating behavior,anorexia nervosa → Progesterone → OPRK1 → eating behavior,"
  • anorexia nervosa [disease] --contraindication--> Progesterone [exposure]
  • Progesterone [exposure] --target--> OPRK1 [gene/protein]
  • OPRK1 [gene/protein] --interacts with--> eating behavior [biological_process]"
