## Clinical Summary: Panic Attack

### Key Clinical Relationships
- Panic attacks are associated with abnormal fear/anxiety-related behavior. [ID: 25269, Source: HPO]
- Panic attacks can be associated with psychogenic non-epileptic seizures. [ID: 25269, Source: HPO]
- Abnormal fear/anxiety-related behavior is associated with panic attacks. [ID: 100852, Source: HPO]
- Panic attacks can be associated with psychogenic non-epileptic seizures. [ID: 33052, Source: HPO]


### Therapeutic Insights
No treatments or drug interactions are mentioned in the provided data.


### Associated Conditions & Phenotypes
- Troyer syndrome is associated with panic attacks. [ID: 25269, Source: HPO]
- Adrenal cortex carcinoma is associated with panic attacks. [ID: 25269, Source: HPO]
- Parkinson's disease is associated with panic attacks. [ID: 25269, Source: HPO]
- Dopa-responsive dystonia is associated with panic attacks. [ID: 25269, Source: HPO]
- Atypical Rett syndrome is associated with panic attacks. [ID: 25269, Source: HPO]
- Dystonia is associated with panic attacks. [ID: 25269, Source: HPO]
- Rubinstein-Taybi syndrome due to 16p13.3 microdeletion is associated with panic attacks. [ID: 25269, Source: HPO]
- Rubinstein-Taybi syndrome due to EP300 haploinsufficiency is associated with panic attacks. [ID: 25269, Source: HPO]
- Rubinstein-Taybi syndrome due to CREBBP mutations is associated with panic attacks. [ID: 25269, Source: HPO]
- Sporadic pheochromocytoma/secreting paraganglioma is associated with panic attacks. [ID: 25269, Source: HPO]
- Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies is associated with panic attacks. [ID: 25269, Source: HPO]
- Myoclonus-dystonia syndrome is associated with panic attacks. [ID: 25269, Source: HPO]
- Hereditary pheochromocytoma-paraganglioma is associated with panic attacks. [ID: 25269, Source: HPO]
- Non-secreting paraganglioma is associated with panic attacks. [ID: 25269, Source: HPO]
- Panic attacks are associated with Troyer syndrome. [ID: 10156, Source: MONDO]
- Panic attacks are associated with adrenal cortex carcinoma. [ID: 6639, Source: MONDO]
- Panic attacks are associated with Parkinson's disease. [ID: 11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167, Source: MONDO_grouped]
- Panic attacks are associated with dopa-responsive dystonia. [ID: 16812, Source: MONDO]
- Panic attacks are associated with atypical Rett syndrome. [ID: 17746, Source: MONDO]
- Panic attacks are associated with dystonia. [ID: 7495_7496_13928_13813_12789_10983_14019_14033_14627_3441_44807, Source: MONDO_grouped]
- Panic attacks are associated with Rubinstein-Taybi syndrome due to 16p13.3 microdeletion. [ID: 12519, Source: MONDO]
- Panic attacks are associated with Rubinstein-Taybi syndrome due to EP300 haploinsufficiency. [ID: 13364, Source: MONDO]
- Panic attacks are associated with Rubinstein-Taybi syndrome due to CREBBP mutations. [ID: 8393, Source: MONDO]
- Panic attacks are associated with sporadic pheochromocytoma/secreting paraganglioma. [ID: 17190, Source: MONDO]
- Panic attacks are associated with neurodevelopmental disorder with dysmorphic facies and distal limb anomalies. [ID: 60596, Source: MONDO]
- Panic attacks are associated with myoclonus-dystonia syndrome. [ID: 903, Source: MONDO]
- Panic attacks are associated with hereditary pheochromocytoma-paraganglioma. [ID: 17366, Source: MONDO]
- Panic attacks are associated with non-secreting paraganglioma. [ID: 19788, Source: MONDO]


### Biological Context
No genes, proteins, or biological processes are mentioned in the provided data.
